Sport,Year,Category,Title
FOOTBALL,2024,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
FOOTBALL,1998,LONG ISLAND,LONG ISLAND CHAMPION
FOOTBALL,2004,LONG ISLAND,LONG ISLAND CHAMPION
FOOTBALL,2006,LONG ISLAND,LONG ISLAND CHAMPION
FOOTBALL,2008,LONG ISLAND,LONG ISLAND CHAMPION
FOOTBALL,2011,LONG ISLAND,LONG ISLAND CHAMPION
FOOTBALL,2015,LONG ISLAND,LONG ISLAND CHAMPION
FOOTBALL,2022,LONG ISLAND,LONG ISLAND CHAMPION
FOOTBALL,1972,RUTGERS TROPHY,RUTGERS TROPHY WINNERS
FOOTBALL,2004,RUTGERS TROPHY,RUTGERS TROPHY WINNERS
FOOTBALL,2011,RUTGERS TROPHY,RUTGERS TROPHY WINNERS
FOOTBALL,2020,RUTGERS TROPHY,RUTGERS TROPHY WINNERS
FOOTBALL,2022,RUTGERS TROPHY,RUTGERS TROPHY WINNERS
FOOTBALL,2024,RUTGERS TROPHY,RUTGERS TROPHY WINNERS
FOOTBALL,1968,UNDEFEATED,7-0-1
FOOTBALL,1972,UNDEFEATED,9-0
FOOTBALL,2004,UNDEFEATED,11-0
FOOTBALL,2011,UNDEFEATED,12-0
FOOTBALL,2015,UNDEFEATED,12-0
FOOTBALL,2020,UNDEFEATED,7-0
FOOTBALL,2022,UNDEFEATED,12-0
CHEER - COMPETITIVE,2017,LEAGUE,LEAGUE CHAMPION
CHEER - COMPETITIVE,2018,LEAGUE,LEAGUE CHAMPION
CHEER - COMPETITIVE,2009,LONG ISLAND,LONG ISLAND CHAMPION
CHEER - COMPETITIVE,0,OTHER,LI & NATIONAL SEMI-FINALIST
CHEER - GAMEDAY,2023,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
CHEER - GAMEDAY,0,STATE,3RD IN NYS (CLASS B)
GOLF - BOYS,1963,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,1970,LEAGUE,LEAGUE CHAMPION
